科目,単元,問題文,解答,解説・採点基準
理科,もののとけ方,水溶液の温度を下げたとき、溶けていた物が出てくる現象を利用して結晶を取り出すことを何といいますか。,再結晶,採点基準：「再結晶」と正確に答えること。食塩とミョウバンの溶け方の違いに関連する知識。
理科,電磁石の性質,電磁石を強くするための方法を、電流以外で1つ答えなさい。,コイルの巻き数を増やす。,採点基準：電流を強くする以外の方法として「コイルの巻き数」に言及していること。
社会,国土の地形・気候,日本の海岸から200海里以内の、水産資源や鉱物資源を管理できる水域を何といいますか。,排他的経済水域（EEZ）,採点基準：「排他的経済水域」と正確に答えること。200海里という数字も記憶。
社会,低い土地・高い土地のくらし,岐阜県海津市など、木曽三川の下流に見られる、洪水から家や田を守るために周囲を堤防で囲った地域を何といいますか。,輪中（わじゅう）,採点基準：「輪中」と正確に答えること。低い土地の工夫。
社会,米づくりのさかんな地域,山形県に位置し、最上川の下流に広がる日本有数の米どころである平野は何ですか。,庄内平野,採点基準：「庄内平野」と正確に答えること。
社会,米づくりのさかんな地域,日本の現在の食料自給率（カロリーベース）は約何％ですか。数字で答えなさい。,約37％,採点基準：ソースコンテクストに基づく「37%」という数字が正解。
社会,自動車をつくる工業,トヨタ自動車などの工場で採用されている、必要な部品を、必要な時に、必要な量だけ生産ラインに届ける仕組みを何といいますか。,ジャスト・イン・タイム,採点基準：トヨタ生産方式の根幹である「ジャスト・イン・タイム」を正しく答えること。
社会,情報化社会・公害,1960年代の高度経済成長期に深刻化した、水俣病など4つの大きな公害をまとめて何といいますか。,四大公害病,採点基準：「四大公害病」と答えること。社会の発展と環境問題の教訓。
英語,Unit 1 (Birthday),「私の誕生日は3月3日です」と英語で言うとき、日付の「3日」の部分はどのように表現しますか。,third (3rd),採点基準：序数である「third」または「3rd」と答えること。threeは不可。
英語,Unit 1 (Birthday),「9月」を英語のスペルで書きなさい。,September,採点基準：綴りが完全に正しいこと。大文字のSで始まっていることが望ましい。
英語,Unit 2 (Subjects),「理科」と「体育」をそれぞれ英語で書きなさい。,"Science, P.E. (Physical Education)",採点基準：両方の科目が正しいスペルで書けていれば正解。
英語,Unit 3 (Can),「私は漢字を書くことができます」を英語で表現しなさい（主語はI）。,I can write kanji.,採点基準：助動詞「can」を正しく使い、動詞の原形が続いていること。
英語,Unit 6 (Food),レストランで店員が「何になさいますか？」と尋ねる際の丁寧なフレーズを書きなさい。,What would you like?,採点基準：「What would you like?」の定型表現が正確であること。
英語,Unit 8 (Future dreams),将来の夢として、「私はパイロットになりたいです」を英語で表現しなさい。,I want to be a pilot.,採点基準：「I want to be a [職業]」の構文が正しく使われていること。
